Unknown:,Monday,Tuesday,Wednesday,Thursday,Friday
9:00-10:15,"['M100', 8]","['M300', 3]","['M400', 7]","['M400', 1]","['M300', 10]"
10:15-11:00,Community Time,Community Time,Community Time,Community Time,Community Time
11:00-12:15,"['M400', 7]","['M400', 1]","['M300', 10]","['M100', 8]","['M300', 3]"
12:15-1:00,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-2:15,"['M300', 10]","['M100', 8]","['M300', 3]","['M400', 7]","['M400', 1]"
