Lupe:,Monday,Tuesday,Wednesday,Thursday,Friday
9:00-10:15,"['L100', 1]","['L300', 9]","['L100', 2]","['L300', 12]","['L200', 18]"
10:15-11:00,Community Time,Community Time,Community Time,Community Time,Community Time
11:00-12:15,"['L100', 2]","['L300', 12]","['L200', 18]","['L100', 1]","['L300', 9]"
12:15-1:00,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-2:15,"['L200', 18]","['L100', 1]","['L300', 9]","['L100', 2]","['L300', 12]"
