Kelsey:,Monday,Tuesday,Wednesday,Thursday,Friday
9:00-10:15,"['S100', 2]","['S200', 6]","['S200', 3]","['S100', 13]","['S100', 1]"
10:15-11:00,Community Time,Community Time,Community Time,Community Time,Community Time
11:00-12:15,"['S200', 3]","['S100', 13]","['S100', 1]","['S100', 2]","['S200', 6]"
12:15-1:00,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-2:15,"['S100', 1]","['S100', 2]","['S200', 6]","['S200', 3]","['S100', 13]"
