George:,Monday,Tuesday,Wednesday,Thursday,Friday
9:00-10:15,"['H200', 7]","['H300', 12]","['Break', 0]","['H200', 3]","['H100', 9]"
10:15-11:00,Community Time,Community Time,Community Time,Community Time,Community Time
11:00-12:15,"['Break', 0]","['H200', 3]","['H100', 9]","['H200', 7]","['H300', 12]"
12:15-1:00,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-2:15,"['H100', 9]","['H200', 7]","['H300', 12]","['Break', 0]","['H200', 3]"
