Ananya:,Monday,Tuesday,Wednesday,Thursday,Friday
9:00-10:15,"['M200', 1]","['M200', 9]","['M200', 16]","['Break', 0]","['Break', 0]"
10:15-11:00,Community Time,Community Time,Community Time,Community Time,Community Time
11:00-12:15,"['M200', 16]","['Break', 0]","['Break', 0]","['M200', 1]","['M200', 9]"
12:15-1:00,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-2:15,"['Break', 0]","['M200', 1]","['M200', 9]","['M200', 16]","['Break', 0]"
