A,H200,M200,L200,E200,S200,15
B,E200,S200,H200,M200,L300,9
C,M400,E300,S100,L300,H300,2
D,M400,GOA,E300,H300,L300,2
E,E200,M300,H200,L300,S200,2
F,S100,E300,M300,L300,H300,2
G,L100,H200,M300,E200,S200,1
H,M200,L100,H200,E200,S200,1
I,GOA,E300,M300,L300,H300,1
J,E200,M300,H200,S200,L300,1
K,S100,M200,L200,H300,E300,1
L,E200,L100,H200,M400,S200,1
M,E200,S200,H200,L300,M100,1
N,E200,H200,L200,S200,M100,1
O,GOA,E300,M300,L300,H300,1
P,M400,E300,L200,GOA,H300,1
