School,Address,Lat/Lon,Distance (Miles)
Yale University,"105 Wall Street, New Haven, CT, 06520","(41.310875, -72.92652)",2433.42624746374
Tidewater Tech,"4535 East Princess Anne Road, Norfolk, VA, 23502","(36.86682, -76.23413)",2433.25685094127
Norfolk State University,"700 Park Ave, Norfolk, VA, 23504-8000","(36.81174, -76.28005)",2433.17036916941
Pittsburgh Institute of Aeronautics-Myrtle Beach,"1038 Shine Ave., Myrtle Beach, SC, 29577","(33.66869, -78.936104)",2433.08433618476
"International Institute of Cosmetology, LLC","632 Silas Deane Highway, Wethersfield, CT, 06109","(41.70777, -72.66207)",2433.0728421923
Albertus Magnus College,"700 Prospect St, New Haven, CT, 06511-1189","(41.331516, -72.921135)",2433.0182091391
Goodwin College,"1 Riverside Dr, East Hartford, CT, 06118","(41.75012, -72.64288)",2432.63001523408
University of New Haven,"300 Boston Post Road, West Haven, CT, 06516","(41.292187, -72.96215)",2432.37898618504
Martin Community College,"1161 Kehukee Pk Rd, Williamston, NC, 27892-9988","(35.837166, -77.09648)",2432.0866871379
Marinello School of Beauty,"1000 Main Street, East Hartford, CT, 06108","(41.77097, -72.64274)",2431.98493726839
Connecticut Training Centers Inc,"1137 Main Street, East Hartford, CT, 06108","(41.77358, -72.64101)",2431.9829411088
Southern Connecticut State University,"501 Crescent Street, New Haven, CT, 06515","(41.330658, -72.944885)",2431.95127603192
Ghent Beauty Academy,"2811 LaFayette Blvd., Norfolk, VA, 23509-2539","(36.875736, -76.255684)",2431.92125756531
Paier College of Art,"20 Gorham Ave, Hamden, CT, 06514-3902","(41.347965, -72.93546)",2431.83580624258
Centura College,"7020 North Military Highway, Norfolk, VA, 23518-4833","(36.90717, -76.23256)",2431.82907416032
Eli Whitney Technical High School,"100 Fairview Avenue, Hamden, CT, 06514","(41.343513, -72.94111)",2431.716877887
Lincoln Technical Institute - Hamden,"109 Sanford St, Hamden, CT, 06514","(41.381752, -72.915565)",2431.68023510445
"Electrical Training Center, Inc.","65 Elm Street, Copiague, NY, 11726","(40.68026, -73.4047)",2431.65548927673
"Tonsorial Academy of Cosmetology & Barber Styling, LLC","185 Boston Post Road, Orange, CT, 06477","(41.27047, -72.99696)",2431.46610152318
Quinnipiac University,"275 Mount Carmel Ave, Hamden, CT, 06518","(41.42134, -72.89578)",2431.33718951423
"Genesis Beauty and Barber School, Inc.","3535-F Tidewater Drive, Norfolk, VA, 23509","(36.88651, -76.26022)",2431.30917640507
H. C. Wilcox Technical High School,"298 Oregon Road, Meriden, CT, 06451","(41.530746, -72.831116)",2430.85810345559
Capital Community College,"950 Main Street, Hartford, CT, 06103","(41.76804, -72.673065)",2430.68251241927
Trinity College,"300 Summit St, Hartford, CT, 06106-3100","(41.745167, -72.69263)",2430.4977538027
Lincoln Technical Institute - New Britain,"200 John Downey Drive, New Britain, CT, 06051","(41.659794, -72.75404)",2430.3468837289
Eastern Virginia Medical School,"721 Fairfax Avenue, Norfolk, VA, 23507","(36.86059, -76.30311)",2430.27636505673
Commercial Driver Training,"600 Patton Avenue, West Babylon, NY, 11704","(40.73406, -73.3982)",2430.20574680317
Platt Technical High School,"600 Orange Avenue, Milford, CT, 06460","(41.24795, -73.044914)",2429.97322596892
A. I. Prince Technical High School,"401 Flatbush Avenue, Hartford, CT, 06106","(41.743187, -72.7073)",2429.8851941098
A.I. Prince Technical High School,"401 Flatbush Avenue, Hartford, CT, 06106","(41.743187, -72.7073)",2429.8851941098
National Institute for Learning Development (NILD),"107 Seekel Street, Norfolk, VA, 23505","(36.90578, -76.276024)",2429.85660207925
Lincoln Technical Institute - Hartford,"85 Sigourney Street, Hartford, CT, 06105","(41.76705, -72.69379)",2429.7607245515
Hartford Conservatory,"834 Asylum Ave, Hartford, CT, 06105-2891","(41.769863, -72.69254)",2429.7303456457
American Institute,"99 South Street, West Hartford, CT, 06110-1922","(41.728268, -72.724014)",2429.58319051035
Hicks Academy of Beauty Culture,"904 Loudoun Avenue, Portsmouth, VA, 23707","(36.831238, -76.34317)",2429.50408767373
Porter and Chester Institute - Enfield,"132 Weymouth St., Enfield, CT, 06082","(41.94914, -72.57891)",2429.37316006476
Old Dominion University,"5115 Hampton Blvd, Norfolk, VA, 23529","(36.889294, -76.303116)",2429.20794555114
Renasci Academy of Hair Inc,"486 Bridgeport Avenue-Tower Plaza, Milford, CT, 06460-1023","(41.206367, -73.090324)",2429.20587848735
Hartford Seminary,"77 Sherman St, Hartford, CT, 06105-2260","(41.769394, -72.70706)",2429.07750911415
Lincoln Technical Institute - East Windsor,"97 Newberry Road, East Windsor, CT, 06088","(41.917164, -72.609856)",2428.94384086439
Pitt Community College,"1986 Pitt Tech Road, Winterville, NC, 28590","(35.54862, -77.406204)",2428.83728000863
Central Connecticut State University,"1615 Stanley St, New Britain, CT, 06050","(41.689274, -72.77059)",2428.66176806514
SUNY Farmingdale,"2350 Broadhollow Road, Farmingdale, NY, 11735-1021","(40.751972, -73.42225)",2428.51276639931
Alexander Paul Institute of Hair Design,"1011-A Charles Boulevard, Greenville, NC, 27858","(35.60548, -77.37225)",2428.209559059
Asnuntuck Community College,"170 Elm St, Enfield, CT, 06082","(41.999634, -72.572105)",2428.12184014825
Western Suffolk BOCES,"152 Laurel Hill Road, Northport, NY, 11768","(40.87986, -73.346596)",2427.86528848847
University of Hartford,"200 Bloomfield Ave, West Hartford, CT, 06117-1599","(41.794655, -72.71764)",2427.80291290485
University of Saint Joseph,"1678 Asylum Ave, West Hartford, CT, 06117-2791","(41.77874, -72.72987)",2427.73720191698
"Grace College of Barbering, Inc.","1206 Dickinson Avenue, Greenville, NC, 27834","(35.605854, -77.382706)",2427.70887337747
M.J. Francoeur & Associates Dale Carnegie Training,"8 Ellsworth Road, West Hartford, CT, -","(41.75826, -72.7445)",2427.7039597303
Porter and Chester Institute - Stratford,"670 Lordship Blvd, Stratford, CT, 06615-7158","(41.169247, -73.149216)",2427.67569884742
American Institute of Healthcare & Technology,"480 Lordship Blvd, Stratford, CT, 06615","(41.170174, -73.15127)",2427.55135854677
Jolie Hair and Beauty Academy,"44 Sewall Street, Ludlow, MA, 01056","(42.158005, -72.480705)",2427.43262212684
Jolie Health and Beauty Academy,"44 Sewall Street, Ludlow, MA, 01506","(42.158005, -72.480705)",2427.43262212684
Eastern Shore Community College,"29300 Lankford Hwy, Melfa, VA, 23410","(37.641296, -75.74834)",2427.41996266891
E. C. Goodwin Technical High School,"735 Slater Road, New Britain, CT, 06053","(41.687542, -72.80679)",2427.05107274961
Western New England University,"1215 Wilbraham Rd, Springfield, MA, 01119-2684","(42.1163, -72.52269)",2426.78941925925
New England College,"98 Bridge St, Henniker, NH, 03242","(43.179497, -71.822266)",2426.78340207297
University of Bridgeport/Fones School of Dental Hygiene,"30 Hazel Street, Bridgeport, CT, 06601","(41.163956, -73.18764)",2426.07275219314
Sanford-Brown College - Farmington,"270 Farmington Ave. Ste. 245, Farmington, CT, 06032","(41.73474, -72.79605)",2426.06849562072
Bullard - Havens Technical High School,"500 Palisade Avenue, Bridgeport, CT, 06610","(41.198895, -73.164925)",2426.00460988557
Bay Path University,"588 Longmeadow Street, Longmeadow, MA, 01106","(42.054623, -72.58191)",2425.97271436967
University of Bridgeport,"126 Park Avenue, Bridgeport, CT, 06604-5620","(41.1646, -73.19077)",2425.90782234164
Long Island Nail Skin & Hair Institute,"3709 Hempstead Turnpike, Levittown, NY, 11756","(40.72566, -73.498825)",2425.82902563484
Hunter Business School,"3601 Hempstead Turnpike, Levittown, NY, 11756-1375","(40.72563, -73.50242)",2425.66386935253
Springfield College,"263 Alden St, Springfield, MA, 01109-3797","(42.10276, -72.55692)",2425.63566137008
Leon Institute of Hair Design,"111 Wall St, Bridgeport, CT, 06604-4226","(41.17822, -73.1885)",2425.5774530848
Housatonic Community College,"900 Lafayette Blvd, Bridgeport, CT, 06604-4704","(41.175335, -73.19232)",2425.49341912889
Briarcliffe College,"1055 Stewart Ave, Bethpage, NY, 11714-3545","(40.760105, -73.48956)",2425.13880148496
Seacoast Center for Education,"955 Houston Northcutt Boulevard, Mount Pleasant, SC, 29464","(32.80421, -79.89092)",2425.11939977968
Brittany Beauty Academy,"3274 Hempstead Turnpike, Levittown, NY, 11756-1345","(40.72586, -73.515114)",2425.06977978395
Lincoln Technical Institute - Shelton,"8 Progress Drive, Shelton, CT, 06484","(41.277325, -73.13166)",2425.03947444998
Bayport One Building,"8025 Black Horse Pike, West Atlantic City, NJ, 08232","(39.377434, -74.48889)",2424.87543138544
Sanford-Brown Institute - Springfield,"365 Cadwell Dr 1st Fl, Springfield, MA, 01104-3042","(42.149426, -72.544365)",2424.77595466766
Allstate Commercial Driver Training school,"249 Pearl Street, Seymour, CT, 06483","(41.393116, -73.06295)",2424.53085835745
Oxford Academy of Hair Design,"153 North Street, Seymour, CT, 06483","(41.39793, -73.061874)",2424.42800627477
Connecticut Institute of Hair Design,"1681 Meriden Rd, Wolcott, CT, 06716","(41.55561, -72.95442)",2424.39951818029
St Vincent's College at Sacred Heart University,"2800 Main St, Bridgeport, CT, 06606","(41.20014, -73.20263)",2424.22621508168
Butler Business School Inc,"2710 North Ave, Bridgeport, CT, 06604","(41.176598, -73.22138)",2424.11289172416
College of Charleston,"66 George Street, Charleston, SC, 29424-0001","(32.783485, -79.93666)",2423.89301902097
Lincoln College of New England,"2279 Mount Vernon Road, Southington, CT, 06489-1057","(41.63158, -72.92143)",2423.53108024221
Charleston School of Law,"81 Mary Street, Charleston, SC, 29403","(32.790867, -79.938354)",2423.50319224289
Medical University of South Carolina,"171 Ashley Ave, Charleston, SC, 29425-0100","(32.785675, -79.946686)",2423.33974837
Gloria Francis School of Make-Up Artistry,"2 Nelson Avenue, Hicksville, NY, 11801","(40.764236, -73.52664)",2423.29145766528
Tunxis Community College,"271 Scott Swamp Road, Farmington, CT, 06032-3187","(41.7066, -72.879074)",2423.12996358596
Fairfield University,"1073 N Benson Rd, Fairfield, CT, 06824-5195","(41.161064, -73.25396)",2423.10636948495
Porter and Chester Institute - Chicopee,"134 Dulong Circle, Chicopee, MA, 01022","(42.18762, -72.56069)",2422.85418748903
Suffolk Beauty Academy,"860 Portsmouth Blvd, Suffolk, VA, 23434-3020","(36.73903, -76.56352)",2422.68445815055
Kay Harvey Academy of Hair Design,"11 Central St, West Springfield, MA, 01089","(42.10604, -72.62225)",2422.53660035666
Star Career Academy,"125 Michael Drive, Syosset, NY, 11791","(40.805145, -73.51903)",2422.31732386132
Magdalen College,"511 Kearsarge Mtn Rd, Warner, NH, 03278-9206","(43.31743, -71.834694)",2422.16479636394
Magdalen College of the Liberal Arts,"511 Kearsage Mountain Road, Warner, NH, 03278","(43.31743, -71.834694)",2422.16479636394
Virginia School of Hair Design,"101 West Queens Way, Hampton, VA, 23669","(37.025597, -76.34652)",2422.12812254604
Career Institute of Health andTechnology,"75 Rushmore Street, Westbury, NY, 11590","(40.755905, -73.56393)",2421.83854919414
Seminary of the Immaculate Conception,"440 W Neck Rd, Huntington, NY, 11743-1626","(40.902184, -73.46866)",2421.50774232065
Sacred Heart University,"5151 Park Ave, Fairfield, CT, 06825-1000","(41.227856, -73.24532)",2421.37410531648
Molloy College,"1000 Hempstead Ave, Rockville Centre, NY, 11571-5002","(40.684475, -73.62601)",2421.28952920542
Barber & Beauty Institute of New York,"266 Greenwich Street, Hempstead, NY, 11550","(40.69993, -73.61517)",2421.2880663688
Industrial Management & Training Institute,"233 Mill Street, Waterbury, CT, 06706","(41.548733, -73.03604)",2420.85854681943
Brunswick Job Corps Center,"4401 Glynco Parkway, Brunswick, GA, 31525","(31.25701, -81.45363)",2420.55923801387
Suburban Technical School,"175 Fulton Ave, Hempstead, NY, 11550-3718","(40.707092, -73.630646)",2420.33995601368
Long Island Beauty School Inc,"173-A  Fulton Ave, Hempstead, NY, 11550","(40.707005, -73.63091)",2420.33058026244
Hampshire College,"893 West St, Amherst, MA, 01002-3359","(42.33077, -72.523865)",2420.1644605244
The Apprentice School - Newport News Shipbuilding,"3101 Washington Avenue, Newport News, VA, 23607","(36.981636, -76.43277)",2419.74041426832
Naugatuck Valley Community College,"750 Chase Parkway, Waterbury, CT, 06708-3089","(41.5468, -73.07294)",2419.22048934224
Star Career Academy - Brick,"150 Brick Boulevard, Brick, NJ, 08772","(40.02634, -74.14403)",2418.98213432559
White Mountains Community College,"2020 Riverside Drive, Berlin, NH, 03570","(44.502388, -71.16008)",2418.931010196
"Crescent Cosmetology University, Inc.","2312 West Mercury Blvd., Hampton, VA, 23666-3115","(37.03817, -76.405464)",2418.91756367946
Stockton University,"101 Vera King Farris Dr., Galloway, NJ, 08205-9441","(39.50067, -74.5289)",2418.82053344324
Associated Beth Rivkah Schools - Valley Stream,"550 Rockaway Avenue, Valley Stream, NY, 11581","(40.65675, -73.700775)",2418.73525696159
Bethel College,"1705 Todds Lane, Hampton, VA, 23666-2366","(37.04015, -76.40851)",2418.70242305354
Holyoke Community College,"303 Homestead Ave, Holyoke, MA, 01040","(42.192535, -72.64809)",2418.69408762741
W. F. Kaynor Technical High School,"43 Tompkins Street, Waterbury, CT, 06708","(41.574615, -73.06561)",2418.68355182768
Cortiva Institute - Connecticut (Westport),"25 Sylvan Rd South, Westport, CT, 06880-4619","(41.134438, -73.37192)",2418.51561619147
Bristol Technical Education Center,"431 Minor Street, Bristol, CT, 06010","(41.690235, -72.992645)",2418.4172969427
Beis Medrash Heichal Dovid,"211 Beach 17th Street, Far Rockaway, NY, 11691","(40.596962, -73.7511)",2418.35654736413
Ocean County Vocational-Technical School,"137 Bey Lea Road, Toms River, NJ, 08753-2703","(39.985485, -74.19197)",2418.12282025583
Gibbs College - Norwalk,"10 Norden Place, Norwalk, CT, 06855","(41.11092, -73.398224)",2418.05394026863
Brick Computer Science Institute,"590 Route 70 Suite 1A, Brick, NJ, 08723","(40.057495, -74.14866)",2417.72983156493
Porter and Chester Institute - Watertown,"320 Sylvan Lake Rd., Watertown, CT, 06779","(41.60038, -73.07673)",2417.362660073
LIC/LISMA Language Center Long Island,"1125 Willis Avenue, Albertson, NY, 11507","(40.773453, -73.64931)",2417.32402481395
Thomas Nelson Community College,"99 Thomas Nelson Drive, Hampton, VA, 23666","(37.064037, -76.42402)",2417.0963599811
Monmouth University,"400 Cedar Ave, West Long Branch, NJ, 07764-1898","(40.28175, -74.00469)",2416.96539077245
Roanoke-Chowan Community College,"109 Community College Rd, Ahoskie, NC, 27910-9522","(36.323456, -77.02545)",2416.82031765202
Harvest English Institute - Long Branch,"339 Broadway, Long Branch, NJ, 07740","(40.303722, -73.99345)",2416.76087791864
Riverside College of Health Careers,"316 Main Street, Newport News, VA, 23601","(37.03509, -76.4578)",2416.59423634545
Norwalk Community College,"188 Richards Avenue, Norwalk, CT, 06854","(41.103127, -73.45177)",2415.83235748902
"International Language Institute of Massachusetts, Inc.","25 New South Street, Northampton, MA, -","(42.31685, -72.63382)",2415.54828051407
Irish American University,"404 East Savannah Road, Lewes, DE, 19958","(38.77898, -75.13422)",2415.53413763995
Keser Torah - Mayan Hatalmud,"218 Joe Parker Road, Lakewood, NJ, 08701-3856","(40.098003, -74.16979)",2415.40338772502
Bais Medrash Zichron Meir,"1500 Vermont Avenue, Lakewood, NJ, 08701","(40.043774, -74.210175)",2415.33578048596
Performance Training,"1012 Cox Cro Rd., Toms River, NJ, 08753","(40.029766, -74.223175)",2415.19982129528
Rabbinical Seminary M'kor Chaim,"160 Locust Street, Lakewood, NJ, 08701","(40.047268, -74.21432)",2415.02733834996
Conway School of Landscape Design,"88 Village Hill Road, Northampton, MA, 01060","(42.313084, -72.64794)",2415.01570119114
Yeshiva Yesodei HaTorah,"2 Yesodei Court, Lakewood, NJ, 08701","(40.06557, -74.20175)",2415.00076939561
Advantage Career Institute,"2 Meridian Road A-B, Eatontown, NJ, 07724","(40.27963, -74.04893)",2414.98675864211
Yeshiva Toras Chaim,"1027 Ridge Avenue, Lakewood, NJ, 08701","(40.098248, -74.18123)",2414.86513765301
Elmezzi Graduate School of Molecular Medicine,"350 Community Drive, Manhasset, NY, 11030","(40.775578, -73.70311)",2414.7688109764
Seminary Bnos Chaim,"388 Chestnut Street, Lakewood, NJ, 08701","(40.053333, -74.21932)",2414.59370984416
Yeshiva Gedolah Keren Hatorah,"1083 Brook Road, Lakewood, NJ, 08701","(40.106945, -74.18506)",2414.3987159339
Yeshiva Gedola Tiferes Yaakov Yitzchok,"65 Cross Street, Lakewood, NJ, 08701","(40.055405, -74.22239)",2414.38246537137
Yeshiva Gedolah Shaarei Shmuel,"511/513 Ocean Avenue, Lakewood, NJ, 08701","(40.090645, -74.197716)",2414.35386374533
Bryant and Stratton College - Newport News,"950 Omni Boulevard, Newport News, VA, 23606","(37.089005, -76.464)",2414.31144891125
Yeshiva Gedola Tiferes Yerachmiel,"911 Somerset Avenue, Lakewood, NJ, 08701","(40.103188, -74.19501)",2414.06245846826
Webb Institute,"298 Crescent Beach Rd, Glen Cove, NY, 11542-1398","(40.88285, -73.643394)",2414.06063614427
Ricci's Toni & Guy Hairdressing Academy,"99 South Main Street, Newtown, CT, 06470","(41.39264, -73.291046)",2414.03586396147
Christopher Newport University,"1 University Place, Newport News, VA, 23606","(37.062103, -76.49233)",2413.98661811398
Yeshiva Chemdas Hatorah,"950 Massachusetts Avenue, Lakewood, NJ, 08701","(40.06124, -74.22924)",2413.87082485363
Saint Basil College,"195 Glenbrook Road, Stamford, CT, 06902-3099","(41.061264, -73.525505)",2413.76935629693
Yeshiva Bais Aharon,"905 Park Avenue, Lakewood, NJ, 08701","(40.100952, -74.20356)",2413.74054620412
Westfield State University,"577 Western Ave, Westfield, MA, 01086-1630","(42.13051, -72.797806)",2413.72667191854
Trident Technical College,"7000 Rivers Avenue, Charleston, SC, 29423-8067","(32.924507, -80.032005)",2413.56005174992
Bais Medrash Mayan Hatorah,"101 Milton Street, Lakewood, NJ, 08701","(40.106853, -74.20379)",2413.53386007099
Bais Medrash Toras Chesed,"910 Monmouth Avenue, Lakewood, NJ, 08701","(40.099922, -74.211586)",2413.40284531027
New York Automotive and Diesel Institute,"178-18 Liberty Avenue, Jamaica, NY, 11433-1433","(40.705425, -73.78231)",2413.38307448301
Southeastern Community College,"4564 Chadbourn Hwy, Whiteville, NC, 28472-5422","(34.329876, -78.781654)",2413.27709699511
Atlantic County Vocational Technical School,"5080 Atlantic Avenue, Mays Landing, NJ, 08330","(39.442474, -74.6928)",2413.19004544504
Beth Medrash Govoha,"617 6th Street, Lakewood, NJ, 08701-2754","(40.095306, -74.22226)",2413.06158013164
Circle of Love Academy,"409 Stanley Chapel Church Road, Dudley, NC, 28333","(35.233524, -78.01446)",2412.87553589822
Colby-Sawyer College,"541 Main St, New London, NH, 03257-7835","(43.411495, -71.97854)",2412.86975705629
York College of the City University of New York,"94-20 Guy R Brewer Blvd, Jamaica, NY, 11451","(40.702602, -73.795616)",2412.85957661364
York College - CUNY,"94-20 Guy R. Brewer Blvd., Jamaica, NY, 11451","(40.702602, -73.795616)",2412.85957661364
Child Guidance Center of Southern Connecticut,"103 West Broad Street, Stamford, CT, 06902","(41.05588, -73.54929)",2412.84390942514
Georgian Court University,"900 Lakewood Ave, Lakewood, NJ, 08701-2697","(40.09819, -74.22612)",2412.78687933292
Allen School of Health Sciences,"163-18 Jamaica Avenue, Jamaica, NY, 11432","(40.70485, -73.79642)",2412.74940381796
Wor-Wic Community College,"32000 Campus Drive, Salisbury, MD, 21804-7131","(38.373615, -75.50257)",2412.63088692901
Atlantic Cape Community College,"5100 Black Horse Pike, Mays Landing, NJ, 08330-2699","(39.467976, -74.68954)",2412.47381715276
J. M. Wright Technical High School,"120 Bridge Street, Stamford, CT, 06904","(41.065304, -73.5524)",2412.39849134032
Hallmark Institute of Photography,"241 Millers Falls Rd, Turners Falls, MA, 01376-0308","(42.589676, -72.52708)",2412.16973573014
Yeshivas Emek Hatorah,"395 Kent Road, Howell, NJ, 07731","(40.11205, -74.23435)",2411.94514603885
Jamaica Hospital,"89-06 135th Street, Jamaica, NY, 11418","(40.700882, -73.817024)",2411.92565203848
St Vincent Catholic Medical Center New York-Brooklyn and Queens,"175 - 05 Horace Harding Expressway, Fresh Meadows, NY, 11365","(40.739086, -73.79427)",2411.73786137547
St Vincent Catholic Medical Center School of Nursing-Brooklyn and Queens,"175-05 Horace Harding Expy, Fresh Meadows, NY, 11365","(40.739037, -73.79446)",2411.73066699235
Mosdos Yaakov V'Yisroel,"1951 New Central Avenue, Lakewood, NJ, 08701","(40.094265, -74.25366)",2411.64103640116
University of Mount Olive,"634 Henderson St, Mount Olive, NC, 28365-0919","(35.20816, -78.07138)",2411.22827604721
Rabbinical Seminary of America,"76-01 147th St, Flushing, NY, 11367","(40.723217, -73.817696)",2411.16960173438
Yeshiva Shaar HaTorah,"117-06 84 Avenue, Richmond Hill, NY, 11418","(40.703953, -73.83448)",2411.01885027112
Keene Beauty Academy,"800 Park Ave, Keene, NH, 03431","(42.94978, -72.32123)",2410.8145846123
Plaza College,"118-35 Queens Boulevard, Forest Hills, NY, 11375","(40.714905, -73.83191)",2410.78216510148
Rabbinical College Ohr Yisroel,"8800 Seaview Avenue, Brooklyn, NY, 11236","(40.62945, -73.89642)",2410.57689686498
Kingsborough Community College of the City University of New York,"2001 Oriental Blvd, Brooklyn, NY, 11235","(40.578423, -73.93753)",2410.33831757444
Berkowits School of Electrolysis,"107-25 Metropolitan Avenue, Forest Hills, NY, 11375","(40.70958, -73.84533)",2410.33452518417
Charleston Cosmetology Institute,"8484 Dorchester Rd, Charleston, SC, 29420","(32.91706, -80.11228)",2410.18439820366
Bramson ORT College,"69-30 Austin St, Forest Hills, NY, 11375-4239","(40.722164, -73.85025)",2409.69870409188
Global English Academy,"143-36 37th Avenue, Flushing, NY, 11354","(40.763393, -73.823906)",2409.58014436017
CAMPUS Education Flushing,"136-56 39 Avenue, Flushing, NY, 11354","(40.760593, -73.828804)",2409.44442210271
Sky Language School- Queens,"136-56 39th Avenue Basement, Flushing, NY, 11354","(40.760593, -73.828804)",2409.44442210271
Long Island Business Institute - Flushing,"136-18 39th Avenue, Flushing, NY, 11354","(40.760357, -73.82983)",2409.40463811068
Delmarva Beauty Academy,"111 Milford St, Salisbury, MD, 21804-6952","(38.3384, -75.60054)",2409.31743377213
Zoni Language Centers - Flushing,"37-14 Main Street, Flushing, NY, 11354","(40.761402, -73.831055)",2409.31416118874
Brookdale Community College,"765 Newman Springs Rd, Lincroft, NJ, 07738-1597","(40.332893, -74.13442)",2409.27219511779
Oliver Wolcott Technical High School,"75 Oliver Street, Torrington, CT, 06790","(41.81012, -73.11087)",2409.24091726551
SUNY Maritime College,"6 Pennyfield Ave, Bronx, NY, 10465-4198","(40.80919, -73.80207)",2409.10745298738
St. Paul's School of Nursing - Flushing,"97-77 Queens Boulevard, Rego Park, NY, 11374","(40.729046, -73.85882)",2409.07926134679
Nutmeg Ballet,"58 Main Street, Torrington, CT, 06790","(41.80164, -73.121376)",2409.02135264443
Wayne Community College,"3000 Wayne Memorial Dr, Goldsboro, NC, 27533-8002","(35.399376, -77.95804)",2409.00226207787
Yeshiva Gedola Ohr Yisroel,"2899 Nostrand Avenue, Brooklyn, NY, 11229","(40.614124, -73.944435)",2408.85516298696
Career Institute of Health and Technology,"95-25 Queens Blvd-Ste 600, Rego Park, NY, 11374","(40.730904, -73.86394)",2408.78229458146
Salisbury University,"1101 Camden Ave, Salisbury, MD, 21801-6837","(38.349846, -75.60745)",2408.59073148355
Zoni Language Centers - Brooklyn,"2148 Ocean Avenue, Brooklyn, NY, 11229","(40.609745, -73.95338)",2408.58404719395
Charles Stuart School,"1420 Kings Hwy 2nd Fl, Brooklyn, NY, 11229","(40.60847, -73.95893)",2408.36885763033
Center for Allied Health Education,"1401 Kings HIghway, Brooklyn, NY, 11229","(40.608418, -73.95909)",2408.36315053604
Darkei Noam Rabbinical College,"2822 Ave J, Brooklyn, NY, 11210","(40.626587, -73.94855)",2408.25898297564
Bet Medrash Gadol Ateret Torah,"901 Quentin Road, Brooklyn, NY, 11223","(40.607643, -73.96382)",2408.16960120044
Mirrer Yeshiva Central Institute,"1791 Ocean Parkway, Brooklyn, NY, 11223-2010","(40.604973, -73.966545)",2408.13053698345
Edgecombe Community College,"2009 W Wilson St, Tarboro, NC, 27886","(35.87872, -77.57757)",2408.11010212404
Yeshivat Hechal Shemuel,"1532 East Tenth Street, Brooklyn, NY, 11230","(40.611526, -73.96369)",2408.04912308595
Gamla College,"1213 Elm Avenue, Brooklyn, NY, 11230","(40.615337, -73.9622)",2407.99391872751
Brooklyn College of the City University of New York,"2900 Bedford Ave, Brooklyn, NY, 11210-2889","(40.632, -73.952705)",2407.8906000278
Rabbinical Academy Mesivta Rabbi Chaim Berlin,"1585 Coney Island Ave, Brooklyn, NY, 11230","(40.618706, -73.96402)",2407.80001829646
Elite Academy of Beauty Arts,"426 Kings Highway, Brooklyn, NY, 11223","(40.604424, -73.97434)",2407.78783994368
Yeshiva and Kollel Harbotzas Torah,"1049 E 15th St, Brooklyn, NY, 11230","(40.623985, -73.96116)",2407.76042449545
Paul D Camp Community College,"100 N College Dr, Franklin, VA, 23851","(36.67252, -76.938614)",2407.70825178379
Midway Paris Beauty School,"54-40 Myrtle Ave, Ridgewood, NY, 11385","(40.699642, -73.91023)",2407.65626399053
Yeshivat Mikdash Melech,"1326 Ocean Pky, Brooklyn, NY, 11230-9963","(40.616257, -73.96925)",2407.6378486855
SUNY Downstate Medical Center,"450 Clarkson Avenue, Brooklyn, NY, 11203","(40.655724, -73.945)",2407.47518432856
Bell Language School,"1535 McDonald Avenue, Brooklyn, NY, 11230","(40.61549, -73.97426)",2407.43108007818
Greenfield Community College,"1 College Drive, Greenfield, MA, 01301-9739","(42.598766, -72.62637)",2407.35054641514
Elyon College,"1400 West 6th Street, Brooklyn, NY, 11204","(40.61162, -73.98038)",2407.27402383187
Learning Institute for Beauty Sciences - Brooklyn,"2384 86th St, Brooklyn, NY, 11214","(40.599426, -73.98969)",2407.24060870903
"College of New Rochelle, The","29 Castle Place, New Rochelle, NY, 10805-2339","(40.90103, -73.78117)",2407.1095415954
Yeshiva Sholom Schachne,"401 Elmwood Avenue, Brooklyn, NY, 11230","(40.627346, -73.97334)",2407.08762426122
American Language Communication Center - Elmhurst,"75-01 Broadway, Elmhurst, NY, 11373","(40.7462, -73.89028)",2407.06870433903
Talmudical Seminary Oholei Torah,"667 Eastern Pky, Brooklyn, NY, 11213","(40.669823, -73.94588)",2406.97617341317
Bramson ORT College- Bensonhurst Campus,"5815 20th Av, Brooklyn, NY, -","(40.620407, -73.98181)",2406.92173113541
Associated Beth Rivkah Schools,"310 Crown St, Brooklyn, NY, 11225","(40.666218, -73.94963)",2406.9199043039
Cope Institute,"4006 18th Avenue, Brooklyn, NY, 11218","(40.632557, -73.97335)",2406.91755988342
Mesivta Torah Vodaath Rabbinical Seminary,"425 E 9th St, Brooklyn, NY, 11218","(40.638203, -73.96967)",2406.90405461908
Beth HaTalmud Rabbinical College,"2127 82nd Street, Brooklyn, NY, 11214","(40.605152, -73.993004)",2406.90074119931
Torah Temimah Talmudical Seminary,"507 Ocean Pky, Brooklyn, NY, 11218","(40.636005, -73.97242)",2406.84837454061
Merkaz Bnos High School & Career Institute,"2115 Benson Avenue, Brooklyn, NY, 11214","(40.60117, -73.99714)",2406.83914244071
Rabbinical College Ch'san Sofer - New York,"1876 50th St, Brooklyn, NY, 11204","(40.62688, -73.98013)",2406.78871781184
The New York Seminary,"911 McDonald Avenue, Brooklyn, NY, 11218","(40.631775, -73.97735)",2406.75799026511
Western Connecticut State University,"181 White Street, Danbury, CT, 06810-6860","(41.39942, -73.44522)",2406.71566340307
