Group A:,Monday,Tuesday,Wednesday,Thursday,Friday
9:00-10:15,H200,E200,M200,S200,L200
10:15-11:00,Community Time,Community Time,Community Time,Community Time,Community Time
11:00-12:15,M200,S200,L200,H200,E200
12:15-1:00,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-2:15,L200,H200,E200,M200,S200
