Group K:,Monday,Tuesday,Wednesday,Thursday,Friday
9:00-10:15,S100,H300,M200,E300,L200
10:15-11:00,Community Time,Community Time,Community Time,Community Time,Community Time
11:00-12:15,M200,E300,L200,S100,H300
12:15-1:00,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-2:15,L200,S100,H300,M200,E300
