Group Q:,Monday,Tuesday,Wednesday,Thursday,Friday
9:00-10:15,H200,E200,S200,GOA,M300
10:15-11:00,Community Time,Community Time,Community Time,Community Time,Community Time
11:00-12:15,S200,GOA,M300,H200,E200
12:15-1:00,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-2:15,M300,H200,E200,S200,GOA
