Group AB:,Monday,Tuesday,Wednesday,Thursday,Friday
9:00-10:15,M100,L200,E100,S100,H100
10:15-11:00,Community Time,Community Time,Community Time,Community Time,Community Time
11:00-12:15,E100,S100,H100,M100,L200
12:15-1:00,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-2:15,H100,M100,L200,E100,S100
