Group R:,Monday,Tuesday,Wednesday,Thursday,Friday
9:00-10:15,E300,GOA,H300,M400,GOA
10:15-11:00,Community Time,Community Time,Community Time,Community Time,Community Time
11:00-12:15,H300,M400,GOA,E300,GOA
12:15-1:00,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-2:15,GOA,E300,GOA,H300,M400
