Group C:,Monday,Tuesday,Wednesday,Thursday,Friday
9:00-10:15,M400,L300,E300,H300,S100
10:15-11:00,Community Time,Community Time,Community Time,Community Time,Community Time
11:00-12:15,E300,H300,S100,M400,L300
12:15-1:00,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-2:15,S100,M400,L300,E300,H300
