Group F:,Monday,Tuesday,Wednesday,Thursday,Friday
9:00-10:15,E300,H300,M400,L200,GOA
10:15-11:00,Community Time,Community Time,Community Time,Community Time,Community Time
11:00-12:15,M400,L200,GOA,E300,H300
12:15-1:00,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-2:15,GOA,E300,H300,M400,L200
